Date,s1,s2
2022-04-22,166.1525203174167,166.76386722533422
2022-04-25,165.66558391674386,166.53938961298198
2022-04-26,164.6525170054022,166.08797752414569
2022-04-27,163.71427680232074,165.64535075351435
2022-04-28,163.53111633723736,165.49420334823714
2022-04-29,162.80136948741116,165.11673554689696
2022-05-02,162.170311674436,164.76608954314307
2022-05-03,161.74248204695996,164.48812919188012
2022-05-04,161.97121666692956,164.47464159834132
2022-05-05,161.30716919976663,164.10303676161104
2022-05-06,160.77614642395181,163.77473845934045
2022-05-09,159.8034501638954,163.25662462538043
2022-05-10,159.15442569469627,162.85396064937746
2022-05-11,157.8118666906627,162.1560624338075
2022-05-12,156.22562620133618,161.33254396788308
2022-05-13,155.21952321071413,160.71799498089962
2022-05-16,154.1611900617399,160.06658439915785
2022-05-17,153.55256237635842,159.58438890763145
2022-05-18,152.20788997834958,158.79415805624456
2022-05-19,150.66405906662803,157.9001779522849
2022-05-20,149.28989208753325,157.0505751222397
2022-05-23,148.56713648414467,156.44862936262064
2022-05-24,147.65388654136527,155.7635071164379
2022-05-25,146.8427029993863,155.11146602758095
2022-05-26,146.41619312946705,154.6115790996458
2022-05-27,146.58290247288463,154.35883643830095
2022-05-31,146.65829528285173,154.08494194964362
2022-06-01,146.71424847810468,153.8167404548736
2022-06-02,147.0006239950709,153.65613068826093
2022-06-03,146.70995874944657,153.2754447364082
2022-06-06,146.51863990091297,152.93919634830763
2022-06-07,146.58789360873152,152.71592605359
2022-06-08,146.57982651141558,152.4722893097988
2022-06-09,146.07085069550325,152.03163406017282
2022-06-10,145.0907535752284,151.39430844732752
2022-06-13,143.70892254044102,150.5781209674308
2022-06-14,142.54167611592356,149.82810975627697
2022-06-15,141.73737911604394,149.21118614297936
2022-06-16,140.50328767121238,148.40994037052184
2022-06-17,139.52818062598158,147.69836089310093
2022-06-21,139.05237402386058,147.18204130136016
2022-06-22,138.57284785427044,146.66577886770543
2022-06-23,138.41434804467474,146.28314439656074
2022-06-24,138.59062235198994,146.04714768577344
2022-06-27,138.75010863003703,145.82040574795818
2022-06-28,138.49645651999631,145.43869420782684
2022-06-29,138.4357617444684,145.14145762622394
2022-06-30,138.14415163459716,144.7584144091493
2022-07-01,138.08871991037586,144.47620672762477
2022-07-05,138.28657648931699,144.30718740455154
2022-07-06,138.59383752679275,144.19760426644413
2022-07-07,139.1952870592113,144.22550439784584
2022-07-08,139.80452061356095,144.2791018481218
2022-07-11,140.15110139078504,144.24633780601562
2022-07-12,140.5580321060786,144.25330000583335
2022-07-13,140.8913186572668,144.24562317790085
2022-07-14,141.47387530439838,144.35395809061646
2022-07-15,142.1612606571975,144.52405469525067
2022-07-18,142.49085285744206,144.56711054091792
2022-07-19,143.15965352698998,144.761077181968
2022-07-20,143.95713008143215,145.02664895320976
2022-07-21,144.8964938669245,145.37150388951926
2022-07-22,145.62757206449416,145.65390824449523
2022-07-25,146.1815234182849,145.88097306938943
2022-07-26,146.5554126965286,146.04671376627
2022-07-27,147.3831111385631,146.4074797494708
2022-07-28,148.18478964666497,146.77584271904578
2022-07-29,149.39670752490298,147.33012054842297
2022-08-01,150.39890388320833,147.82383226366557
2022-08-02,151.16420399468478,148.2399390397458
2022-08-03,152.4337363011806,148.87736469359461
2022-08-04,153.55218324385092,149.47736722322693
2022-08-05,154.5423945401955,150.04489799311878
2022-08-08,155.39297122275127,150.57150786425262
2022-08-09,156.16726356072584,151.07941111551662
2022-08-10,157.2757582234692,151.73537371959563
2022-08-11,158.2078579332132,152.33644946297548
2022-08-12,159.39208066864754,153.05432190188913
2022-08-15,160.56645317100106,153.78642660939775
2022-08-16,161.61387156552252,154.48359993112632
2022-08-17,162.70507162289834,155.212536097277
2022-08-18,163.65457291643926,155.89733214072018
2022-08-19,164.26529201135799,156.45301022983259
2022-08-22,164.4448441044913,156.83330743608457
2022-08-23,164.57518859965506,157.18547033285424
2022-08-24,164.7214483651827,157.53548781539703
2022-08-25,165.08985680073448,157.96898778100802
2022-08-26,164.81787708868538,158.13624590034965
2022-08-29,164.3602726998448,158.20984531625197
2022-08-30,163.71300383176066,158.18451607188763
2022-08-31,162.96779012280206,158.09446680976245
2022-09-01,162.36342858906423,158.03672277873468
2022-09-02,161.61359766224115,157.89764360534986
2022-09-06,160.8143092502122,157.71424853596113
2022-09-07,160.22617656120389,157.59364726065382
2022-09-08,159.55241280342182,157.4194515682553
2022-09-09,159.2176089217529,157.36523668502562
2022-09-12,159.48694367009043,157.5487812769578
2022-09-13,158.82503143811752,157.3522355497977
2022-09-14,158.36497420991512,157.22055692204063
2022-09-15,157.67110482831606,156.97972510953414
2022-09-16,156.8856164801766,156.68340166103678
2022-09-19,156.53188757851171,156.5456785767881
2022-09-20,156.4403714879801,156.50745465722505
2022-09-21,156.05727970006234,156.34708026732775
2022-09-22,155.6181290152722,156.15488878663905
2022-09-23,155.00266691644046,155.88041381373316
2022-09-26,154.47792765421622,155.6299232588058
2022-09-27,154.09664907414577,155.42774989820467
2022-09-28,153.5703749017197,155.15884873606615
2022-09-29,152.3992060355217,154.61430964079454
2022-09-30,150.9354124291811,153.92470428895734
2022-10-03,150.01236004799793,153.42739676494952
2022-10-04,149.5218945704914,153.09151738335072
2022-10-05,149.1064662162147,152.78047344088935
2022-10-06,148.63900468297402,152.44391056545007
2022-10-07,147.71179955412677,151.91290822288647
2022-10-10,146.9040624825656,151.4155612456256
2022-10-11,146.0372693294641,150.88172489775795
2022-10-12,145.19259438123387,150.34393891639672
2022-10-13,144.86747047206504,150.00805085437963
2022-10-14,144.13798185242268,149.50608179992633
2022-10-17,143.8585283515037,149.18049898788112
2022-10-18,143.73222697437018,148.91978780763486
2022-10-19,143.62834190212735,148.67357784324997
2022-10-20,143.4899664619508,148.41874733097637
2022-10-21,143.73116367809314,148.32477830746535
2022-10-24,144.15524823386255,148.31925960966953
2022-10-25,144.8118523129664,148.42633143142575
2022-10-26,145.12357258422037,148.4129425580809
2022-10-27,144.9759424152991,148.22315876405997
2022-10-28,145.87545186393504,148.4662031900175
2022-10-31,146.46265713191593,148.6063955032613
2022-11-01,146.73991994087407,148.63649437081875
2022-11-02,146.4600717247789,148.44688728458567
2022-11-03,145.6261233015857,148.02558242170977
2022-11-04,144.8460596845076,147.6102833197708
2022-11-07,144.19136409373976,147.23230185552273
2022-11-08,143.65388235015817,146.89173338221332
2022-11-09,142.7296461125687,146.3841909693998
2022-11-10,143.0284886423985,146.3639282912187
2022-11-11,143.56655564204357,146.45468373621688
2022-11-14,143.91906303811382,146.48657391521942
2022-11-15,144.40447314311487,146.58576196327454
2022-11-16,144.725416990906,146.63237457431953
2022-11-17,145.1983509102989,146.75232942021017
2022-11-18,145.68015643883814,146.88977959823964
2022-11-21,145.80582821447334,146.89409059764233
2022-11-22,146.1247881203866,146.98275007328627
2022-11-23,146.49755581148816,147.10259708519476
2022-11-25,146.55483902382412,147.10245718150148
2022-11-28,146.23871915911096,146.9508149565146
2022-11-29,145.66421456285636,146.68632891502136
2022-11-30,145.79329670223834,146.69939746840748
2022-12-01,145.9365687494768,146.72285847742063
2022-12-02,146.0189023130497,146.72592564171754
2022-12-05,145.9817830823426,146.68291484755704
2022-12-06,145.59632988746546,146.4967034627953
2022-12-07,145.06124909507665,146.24106731003403
2022-12-08,144.73887299543392,146.06205682920245
2022-12-09,144.40085189960763,145.87098210998894
2022-12-12,144.31541251900885,145.77814902345293
2022-12-13,144.3308066392223,145.72712556297438
2022-12-14,144.13096628407314,145.59008075305994
2022-12-15,143.31547264569042,145.19706907964797
2022-12-16,142.38941409944906,144.74196275927576
2022-12-19,141.3491343223996,144.22135545265436
2022-12-20,140.40130794859593,143.71843788186249
2022-12-21,139.84170113457415,143.35792801988228
2022-12-22,139.03081896504253,142.8861441114356
2022-12-23,138.26216581956228,142.41845065363424
2022-12-27,137.39362057921335,141.89782281607597
2022-12-28,136.2303888573835,141.24220966642596
2022-12-29,135.5156195642324,140.7513509061464
2022-12-30,134.89918970850565,140.29220405018387
